tag,count
Chicago,25490
West Town,4438
Loop,3310
Illinois,2830
Near North Side,2411
Logan Square,2284
Lower West Side,2016
Hyde Park,1854
near west side,1523
Evanston,1249
Bridgeport,1038
Museum of Contemporary Art Chicago,794
Lincoln Park,776
Rogers Park,776
West Loop,722
Humboldt Park,664
Edgewater,645
Oak Park,564
East Garfield Park,542
The Art Institute of Chicago,509
Elastic Arts,503
Comfort Station Logan Square,461
Pilsen,460
Gallery 400,459
Washington Park,443
Ravenswood,442
Hyde Park Art Center,396
Experimental Sound Studio,396
Near South Side,368
Compound Yellow,357
School of the Art Institute of Chicago,344
COVID-19,341
Chicago Artists' Coalition,330
Wicker Park,315
Block Museum,314
Roman Susan,314
Lakeview,307
Museum of Contemporary Photography,306
Heaven Gallery,302
Northwestern University,293
Chicago Cultural Center,280
Poetry Foundation,279
DePaul Art Museum,274
University of Chicago,272
IL,260
SAIC,253
Edra Soto,237
Columbia College Chicago,234
Newberry Library,231
Evanston Art Center,227
South Shore,225
National Museum of Mexican Art,222
Epiphany Center for the Arts,221
ARC Gallery,212
threewalls,203
Reva and David Logan Center for the Arts,194
The School of the Art Institute of Chicago,191
Links Hall,191
Block Museum of Art,188
Stony Island Arts Bank,188
Mana Contemporary,187
Corbett vs. Dempsey,186
Lincoln Square,184
North Center,179
Gene Siskel Film Center,179
The University of Chicago,179
PO Box Collective,178
Riverside Arts Center,174
Noble Square,173
Chicago Art Department,169
ACRE,169
Intuit: The Center for Intuitive and Outsider Art,169
International Museum of Surgical Science,168
Riverside,166
Roots & Culture,165
Western Exhibitions,162
South Lawndale,161
zhou b art center,161
Woodlawn,156
MCA,156
ACRE Projects,155
Co-Prosperity Sphere,155
Filter Photo,149
Alberto Aguilar,146
LVL3,145
Smart Museum of Art,145
Woman Made Gallery,142
bronzeville,142
Visiting Artists Program,141
The Quarantine Concerts,139
Blue Moon Gallery,137
The Martin,137
Grayslake,136
65GRAND,134
6018NORTH,133
Women & Children First Bookstore,133
The Renaissance Society,132
Conversations At The Edge,131
Uptown,130
Albany Park,129
Lake County,129
Chicago Filmmakers,128
River North,127
Comfort Station,126
Elmhurst,122
Tritriangle,122
Gene Siskel Film Center of the School of the Art Institute of Chicago,121
Museum of Contemporary Art,121
Dfbrl8r,120
Smart Museum,118
Avondale,117
Northwestern,117
Gold Coast,117
moniquemeloche,116
Elmhurst Art Museum,114
Pilsen Community Books,114
Art Design Chicago,114
Jesse Malmed,113
UIC,113
andrew rafacz,113
High Concept Labs,112
Arts and Public Life,112
The Arts Club of Chicago,109
Graham Foundation for Advanced Studies in the Fine Arts,109
Goldfinch,109
Art Institute of Chicago,107
Elephant Room Gallery,107
LATITUDE,106
Art,105
Glass Curtain Gallery,104
Julius Cæsar,103
Quimby's Bookstore,103
North Lawndale,103
Ukrainian Institute of Modern Art,102
Doc Films at the University of Chicago,102
Rhona Hoffman Gallery,102
Rhonda Wheatley,101
artist talk,101
Oliva Gallery,98
Amanda Williams,98
Hairpin arts center,98
Co-prosperity,97
Rebuild Foundation,97
Bridgeport Art Center,95
Allen Moore,95
Near North,95
Max Guy,94
Bert Green Fine Art,94
The Nightingale,94
Irving park,93
Document,93
Goethe-Institut Chicago,92
DuSable Museum of African American History,92
fulton street collective,91
Glen Ellyn,90
The Franklin,89
The Seminary Co-op Bookstores,89
Leather Archives & Museum,88
Lillstreet Art Center,88
Wrightwood 659,87
Damon Locks,87
Project Onward,86
Garfield Park,86
Experimental Station,86
Kioto Aoki,86
Renaissance Society,86
South Loop,86
photography,85
Johalla Projects,85
Perspective Gallery,84
Theaster Gates,83
Blanc Gallery,82
ADDS DONNA,82
Logan Center for the Arts,80
The Block Museum,80
Firecat Projects,80
Hermosa,79
Selina Trepp,79
EXPO Chicago,79
Lia Kohl,79
Morgan Park,78
painting,78
Spudnik Press Cooperative,78
Japanese Culture Center - 日本文化会館,78
Sullivan Galleries,78
ess,77
Vertical Gallery,77
Amina Ross,77
boundary,75
Normal,75
Sara Zalek,75
Weinberg/Newton Gallery,75
William Estrada,74
Sadie Woods,74
Maggie Queeney,74
Ukrainian Village,73
avery r. young,73
Suburbs,72
Chuquimarca,71
Erin Hayden,69
Krista Franklin,69
University of Illinois at Chicago,69
Pilsen Outpost,69
closing reception,68
Chicago History Museum,68
Jane Addams Hull-House Museum,68
Bucktown,68
University Galleries of Illinois State University,68
Andersonville,66
Nicole Marroquin,66
Faheem Majeed,66
Kavi Gupta Gallery,66
Chicago Humanities Festival,66
Columbia College,66
Slow,66
Devening Projects,65
South Asia Institute,65
Jordan Martins,65
Green Line Performing Arts Center,65
Catherine Edelman Gallery,65
The Mission,65
Near Norths Side,64
Ben Lamar Gay,64
Derrick Woods-Morrow,64
Volumes Bookcafe,64
Parlour and Ramp,63
performance,63
Build Coffee,63
PATRON,62
McKinley Park,62
Agitator Gallery,62
sculpture,62
Maria Gaspar,62
Cristal Sabbagh,61
Meg Duguid,61
Arts + Public Life,61
Leslie Baum,61
Option,61
iceberg projects,61
Logan Center Exhibitions,60
OPEN Center for the Arts,60
Side Yard Sounds,60
Claire Ashley,60
Carrie Secrist Gallery,60
Luftwerk,59
Chicago Public Library,59
Navy Pier,59
chicago architecture biennial,59
Arts Incubator,59
Brendan Fernandes,58
Yvette Mayorga,58
Michelle Grabner,58
Angel Bat Dawid,58
Shane Campbell Gallery,58
South Side Community Art Center,57
Liz McCarthy,57
MCA Chicago,57
Freeark Gallery,57
Victoria Martinez,56
Cauleen Smith,56
Mana Contemporary Chicago,56
Matt Morris,56
IMSS,56
Aram Han Sifuentes,56
Madeleine Aguilar,55
arts of life,55
4th Ward Project Space,55
Betsy Odom,55
Constellation Chicago,55
Judith Brotman,55
Erin Washington,55
Lilli Carré,54
