venue_name,address,venue_url,map_url,event_count
Museum of Contemporary Art Chicago,"220 E Chicago Ave, Chicago, IL 60611",https://visit.mcachicago.org/events/talk-mike-cloud-nolan-jimbo/,"http://maps.google.com/maps?q=220 E Chicago Ave, Chicago, IL 60611",540
Comfort Station Logan Square,"2579 N Milwaukee Ave, Chicago, IL 60647",https://comfortstationlogansquare.org/calendar/2026/5/30/chicago-arts-census-town-hall,"http://maps.google.com/maps?q=2579 N Milwaukee Ave, Chicago, IL 60647",448
The Art Institute of Chicago,"111 S Michigan Ave, Chicago, IL 60603",https://www.artic.edu/exhibitions/10584/lucas-samaras-sitting-standing-walking-looking,"http://maps.google.com/maps?q=111 S Michigan Ave, Chicago, IL 60603",380
Compound Yellow,"244 Lake St, Oak Park, IL 60302",https://compoundyellow.com/opening-reception-lindsey-dorrniro-spectral-psalm/,"http://maps.google.com/maps?q=244 Lake St, Oak Park, IL 60302",291
Hyde Park Art Center,"5020 S Cornell Ave, Chicago, IL 60615",https://www.hydeparkart.org/exhibition-archive/jeff-carter-the-singer-pavilion-project/,"http://maps.google.com/maps?q=5020 S Cornell Ave, Chicago, IL 60615",285
Gallery 400,"400 S Peoria St, Chicago, IL 60607",https://gallery400.uic.edu/exhibition/2026mfathesis/,"http://maps.google.com/maps?q=400 S Peoria St, Chicago, IL 60607",226
Epiphany Center for the Arts,"201 S Ashland Ave, Chicago, IL 60607",https://epiphanychi.com/arts/,"http://maps.google.com/maps?q=201 S Ashland Ave, Chicago, IL 60607",196
Chicago Cultural Center,"78 E Washington St, Chicago, IL 60602",https://highconceptlabs.org/events/christopher-knowlton-elaborate,"http://maps.google.com/maps?q=78 E Washington St, Chicago, IL 60602",195
National Museum of Mexican Art,"1852 W 19th St, Chicago, IL 60608",https://nationalmuseumofmexicanart.org/events/xochicago,"http://maps.google.com/maps?q=1852 W 19th St, Chicago, IL 60608",179
Stony Island Arts Bank,"6760 S Stony Island Ave, Chicago, IL 60649",https://chicagoarchitecturebiennial.org/program/loudreaders-at-stony-island-arts-bank/,"http://maps.google.com/maps?q=6760 S Stony Island Ave, Chicago, IL 60649",165
Elastic Arts,"3429 W Diversey Ave, #208, Chicago IL, 60647",https://elasticarts.org/events/westerlandhagen-bonnie-han-jones-clinkmangreene,"http://maps.google.com/maps?q=3429 W Diversey Ave, #208, Chicago IL, 60647",158
Elastic Arts,"3429 W Diversey Ave, #208, Chicago, IL 60647",https://sixtyinchesfromcenter.org/join-us-for-sixty-on-stage-poetry-prose/,"http://maps.google.com/maps?q=3429 W Diversey Ave, #208, Chicago, IL 60647",154
International Museum of Surgical Science,"1524 N Lake Shore Dr, Chicago, IL 60610",https://imss.org/program/bunuel-master-of-dreams-the-unveiling-of-luis-bunuel/,"http://maps.google.com/maps?q=1524 N Lake Shore Dr, Chicago, IL 60610",151
DePaul Art Museum,"935 W Fullerton Ave, Chicago, IL 60614",https://events.humanitix.com/house-of-dov-s-three-generations-of-women,"http://maps.google.com/maps?q=935 W Fullerton Ave, Chicago, IL 60614",150
"Block Museum of Art, Northwestern University","40 Arts Circle Dr, Evanston, IL 60208",https://www.blockmuseum.northwestern.edu/events/2026/2-art-talks-hamdia-traor%C3%A9-des-marabouts-de-djenn%C3%A9.htmldjenn%C3%A9.html%C5%82isto.htmlconversation.htmlutm_source=Block+Museum+of+Art+Northwestern+University&utm_campaign=9b74743135-EMAIL_CAMPAIGN_9_27_2021_COPY_01&utm_medium=email&utm_term=0_a04c98ee9f-9b74743135-309161421&mc_cid=9b74743135&mc_eid=369c0b783f,"http://maps.google.com/maps?q=40 Arts Circle Dr, Evanston, IL 60208",148
Evanston Art Center,"1717 Central St, Evanston, IL 60201",https://www.evanstonartcenter.org/exhibitions/choreographic-place-david-sundry-michael-workman-michelle-kranicke,"http://maps.google.com/maps?q=1717 Central St, Evanston, IL 60201",148
Experimental Sound Studio,"5925 N Ravenswood Ave, Chicago, IL 60660",https://ess.org/event/sonic-pavilion-redux-exhibition/?mc_cid=70741a6361&mc_eid=715f63a765,"http://maps.google.com/maps?q=5925 N Ravenswood Ave, Chicago, IL 60660",148
Links Hall,"3111 N Western Ave, Chicago, IL 60618",https://www.linkshall.org/dusk,"http://maps.google.com/maps?q=3111 N Western Ave, Chicago, IL 60618",145
Newberry Library,"60 W Walton St, Chicago, IL 60610",https://www.newberry.org/calendar/zine-fest-2026?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn1DzNXExQ3h455Am08d7z75VC1bc-88S_tu_wYfLoYFShr8BHnlBIJJnKeFE_aem_lY2tPMN0w60dm47TrF5P4g,"http://maps.google.com/maps?q=60 W Walton St, Chicago, IL 60610",144
Experimental Sound Studio,https://ess.org/the-quarantine-concerts,https://ess.org/esscalendar/2021/6/7/place-of-assembly-deep-refrains,http://maps.google.com/maps?q=https://ess.org/the-quarantine-concerts,137
Poetry Foundation,"61 W Superior St, Chicago, IL 60654",https://www.poetryfoundation.org/events/1709449/facing-pages,"http://maps.google.com/maps?q=61 W Superior St, Chicago, IL 60654",135
Museum of Contemporary Photography,"600 S Michigan Ave, Chicago, IL 60605",https://www.mocp.org/events/lecture-in-photography-joel-sternfeld/,"http://maps.google.com/maps?q=600 S Michigan Ave, Chicago, IL 60605",131
Gene Siskel Film Center,"164 N State St, Chicago, IL 60601",https://www.siskelfilmcenter.org/asianamericanshowcase,"http://maps.google.com/maps?q=164 N State St, Chicago, IL 60601",125
Reva and David Logan Center for the Arts,"915 E 60th St, Chicago, IL 60637",https://www.praizeproductions.com/,"http://maps.google.com/maps?q=915 E 60th St, Chicago, IL 60637",121
Roman Susan,"1224 W Loyola Ave, Chicago, IL 60626",https://romansusan.org/The-Storm,"http://maps.google.com/maps?q=1224 W Loyola Ave, Chicago, IL 60626",119
Co-Prosperity Sphere,"3219 S Morgan St, Chicago, IL 60608",https://coprosperity.org/chicago/2025/9/5/resurge-chicago-queer-performance-uprising,"http://maps.google.com/maps?q=3219 S Morgan St, Chicago, IL 60608",112
PO Box Collective,"6900 N Glenwood Ave, Chicago, IL 60626",https://poboxcollective.us/event/1340/po-box-poetry-series-reading-writing-workshop-potluck,"http://maps.google.com/maps?q=6900 N Glenwood Ave, Chicago, IL 60626",112
Intuit: The Center for Intuitive and Outsider Art,"756 N Milwaukee Ave, Chicago, IL 60642",https://art.org/events/superhero-portrait-slam,"http://maps.google.com/maps?q=756 N Milwaukee Ave, Chicago, IL 60642",109
ARC Gallery,"1463 W Chicago Ave, Chicago, IL 60642",https://www.arcgallery.org/exhibitions-archive/body-sovereignty-g5kly-8km2d,"http://maps.google.com/maps?q=1463 W Chicago Ave, Chicago, IL 60642",105
The Arts Club of Chicago,"201 E Ontario St, Chicago, IL 60611",https://www.artsclubchicago.org/program/chicago-poet-laureate-mayda-del-valle-with-poetry-editor-in-chief-adrian-matejka/,"http://maps.google.com/maps?q=201 E Ontario St, Chicago, IL 60611",104
Doc Films at the University of Chicago,"1212 E 59th St, Chicago, IL 60637",https://docfilms.org/calendar/2026winter/special-screenings,"http://maps.google.com/maps?q=1212 E 59th St, Chicago, IL 60637",102
Gene Siskel Film Center of the School of the Art Institute of Chicago,"164 N State St, Chicago, IL 60601",http://www.siskelfilmcenter.org/marcel-duchamp-art-of-the-possible?fbclid=IwAR2O7clA1v_NuXEWXMLhxbkuCbBya6uKOhLONVsn1lHhlDH02dhkKhrA_7c,"http://maps.google.com/maps?q=164 N State St, Chicago, IL 60601",96
Oliva Gallery,"3816 W Armitage Ave, Chicago, IL 60647",https://www.eventbrite.com/e/closing-reception-girl-talk-by-lindsey-kircher-at-oliva-gallery-tickets-1987847912618?aff=oddtdtcreator,"http://maps.google.com/maps?q=3816 W Armitage Ave, Chicago, IL 60647",96
Tritriangle,"1550 N Milwaukee Ave, Fl 3 Chicago, IL 60622",https://tritriangle.net/events/event/pcrv-viator-diagram-a-horaflora-dan-of-earth/,"http://maps.google.com/maps?q=1550 N Milwaukee Ave, Fl 3 Chicago, IL 60622",90
Chicago Artists Coalition,"2130 W Fulton St, Chicago, IL 60612",https://chicagoartistscoalition.org/events/directors-party,"http://maps.google.com/maps?q=2130 W Fulton St, Chicago, IL 60612",89
Graham Foundation for Advanced Studies in the Fine Arts,"4 W Burton Pl, Chicago, IL 60610",https://chicagoarchitecturebiennial.org/program/eve-aboulkheir-medeas-tskaltubo/,"http://maps.google.com/maps?q=4 W Burton Pl, Chicago, IL 60610",86
Corbett vs. Dempsey,"2156 W Fulton St, Chicago, IL 60612",https://www.corbettvsdempsey.com/events/carroll-dunham-in-conversation-with-john-corbett/,"http://maps.google.com/maps?q=2156 W Fulton St, Chicago, IL 60612",85
Museum of Contemporary Art,"220 E Chicago Ave, Chicago, IL 60611",https://visit.mcachicago.org/events/members-open-house/,"http://maps.google.com/maps?q=220 E Chicago Ave, Chicago, IL 60611",83
Goldfinch,"319 N Albany Ave, Chicago, IL 60612",https://goldfinch-gallery.com/viewing-room/12-damon-locks-we-are-our-people-listen-to-this/,"http://maps.google.com/maps?q=319 N Albany Ave, Chicago, IL 60612",82
Blue Moon Gallery,"18620 Belvidere Rd, Grayslake IL 60030",https://www.thebluemoongallery.com/,"http://maps.google.com/maps?q=18620 Belvidere Rd, Grayslake IL 60030",80
Chicago Art Department,"1926 S Halsted St, Chicago, IL 60608",https://www.chicagoartdepartment.org,"http://maps.google.com/maps?q=1926 S Halsted St, Chicago, IL 60608",79
Pilsen Community Books,"1102 W 18th St, Chicago, IL 60608",https://www.exhibitb312.com/event-details/exhibit-b-pcb-december-25,"http://maps.google.com/maps?q=1102 W 18th St, Chicago, IL 60608",79
Smart Museum of Art,"5550 S Greenwood Ave, Chicago, IL 60637",https://smartmuseum.uchicago.edu/events/2280/family-day-bring-it-on-home/,"http://maps.google.com/maps?q=5550 S Greenwood Ave, Chicago, IL 60637",79
Ukrainian Institute of Modern Art,"2320 W Chicago Ave, Chicago, IL 60622",https://uima-chicago.org/new-page,"http://maps.google.com/maps?q=2320 W Chicago Ave, Chicago, IL 60622",78
Leather Archives & Museum,"6418 N Greenview Ave, Chicago, IL 60626",http://www.leatherarchives.org,"http://maps.google.com/maps?q=6418 N Greenview Ave, Chicago, IL 60626",77
"Smart Museum of Art, The University of Chicago","5550 S Greenwood Ave, Chicago, IL 60637",https://smartmuseum.uchicago.edu/events/2340/family-day-rooted-in-clay/,"http://maps.google.com/maps?q=5550 S Greenwood Ave, Chicago, IL 60637",77
Elmhurst Art Museum,"150 S Cottage Hill Ave, Elmhurst, IL 60126",https://elmhurstartmuseum.org/exhibitions/on%20wonder%20mind%20and%20magic,"http://maps.google.com/maps?q=150 S Cottage Hill Ave, Elmhurst, IL 60126",73
Museum of Contemporary Photography,Online,https://www.mocp.org/events/photos-at-zoom-art-and-the-anthropocene/,http://maps.google.com/maps?q=Online,73
Block Museum,"40 Arts Circle Dr, Evanston, IL 60208",https://www.blockmuseum.northwestern.edu/exhibitions/2021/for-one-and-all-selected-prints-from-the-blocks-collection.html,"http://maps.google.com/maps?q=40 Arts Circle Dr, Evanston, IL 60208",72
DuSable Museum of African American History,"740 E 56th Pl, Chicago, IL 60637",https://dusablemuseum.org/event/black-history-month-closeout-celebration/,"http://maps.google.com/maps?q=740 E 56th Pl, Chicago, IL 60637",72
The Nightingale,"1084 N Milwaukee Ave, Chicago, IL 60642",http://www.dfbrl8r.org,"http://maps.google.com/maps?q=1084 N Milwaukee Ave, Chicago, IL 60642",72
Chicago Artists Coalition,"217 N Carpenter St, Chicago, IL 60607",http://www.chicagoartistscoalition.org/programs/fieldwork/office-hours-artists-arts-professionals,"http://maps.google.com/maps?q=217 N Carpenter St, Chicago, IL 60607",70
Block Museum of Art,"40 Arts Circle Dr, Evanston, IL 60208",https://art.northwestern.edu/2026-mfa-thesis-exhibition-we-can-make-any-two-stories-touch,"http://maps.google.com/maps?q=40 Arts Circle Dr, Evanston, IL 60208",69
