id,name,slug,count,link,description,taxonomy
30,Artist Talk,artist-talk,398,https://thevisualist.org/category/artist-talk/,,category
71,Auction,auction,41,https://thevisualist.org/category/auction/,,category
156571,Bad at Sports Top V List,bad-at-sports-top-v-list,138,https://thevisualist.org/category/bad-at-sports-top-v-list/,,category
164955,Birthday Party,birthday-party,3,https://thevisualist.org/category/birthday-party/,,category
157273,Book Release,book-release,193,https://thevisualist.org/category/book-release/,,category
159096,Book Signing,book-signing,20,https://thevisualist.org/category/book-signing/,,category
156422,Chicago Galleries abroad,chicago-galleries-abroad,2,https://thevisualist.org/category/chicago-galleries-abroad/,,category
162111,Chicago Reader,chicago-reader,1,https://thevisualist.org/category/chicago-reader/,,category
180938,commencement,commencement,1,https://thevisualist.org/category/commencement/,,category
164753,Community Meeting,community-meeting,5,https://thevisualist.org/category/community-meeting/,,category
64,Curator Talk,curator-talk,20,https://thevisualist.org/category/curator-talk/,,category
156490,EVENT CANCELED,event-canceled,150,https://thevisualist.org/category/event-canceled/,,category
39,Exhibition,exhibition,14880,https://thevisualist.org/category/exhibition/,,category
151,Fair,fair,127,https://thevisualist.org/category/fair/,,category
106,Festival,festival,236,https://thevisualist.org/category/festival/,,category
61,Fundraiser,fundraiser,437,https://thevisualist.org/category/fundraiser/,,category
156202,Grant,grant,1,https://thevisualist.org/category/grant/,,category
158081,Internet Colaborative/Curated Content,internet-colaborativecurated-content,2,https://thevisualist.org/category/internet-colaborativecurated-content/,,category
171030,lecture,lecture,34,https://thevisualist.org/category/lecture/,,category
111,Open Studio,open-studio,71,https://thevisualist.org/category/open-studio/,,category
29,Panel,panel,90,https://thevisualist.org/category/panel/,,category
169555,Parade,parade,3,https://thevisualist.org/category/parade/,,category
121,Party,party,152,https://thevisualist.org/category/party/,,category
54,Performance,performance,5583,https://thevisualist.org/category/performance/,,category
166624,Presentation,presentation,12,https://thevisualist.org/category/presentation/,,category
163624,Public Art,public-art,2,https://thevisualist.org/category/public-art/,,category
203,Rally,rally,8,https://thevisualist.org/category/rally/,,category
215,Reading,reading,114,https://thevisualist.org/category/reading/,,category
5,Reception,reception,13985,https://thevisualist.org/category/reception/,,category
53,Release Party,release-party,272,https://thevisualist.org/category/release-party/,,category
101,Residency,residency,8,https://thevisualist.org/category/residency/,,category
168679,sale,sale,377,https://thevisualist.org/category/sale/,,category
55,Screening,screening,2652,https://thevisualist.org/category/screening/,,category
214,Slideshow Presentation,slideshow-presentation,1,https://thevisualist.org/category/slideshow-presentation/,,category
82,Symposium,symposium,42,https://thevisualist.org/category/symposium/,,category
33,Talk,talk,6173,https://thevisualist.org/category/talk/,,category
156509,Tour,tour,205,https://thevisualist.org/category/tour/,,category
1,Uncategorized,uncategorized,3743,https://thevisualist.org/category/uncategorized/,,category
156201,workshop,workshop,2444,https://thevisualist.org/category/workshop/,,category
